"","agency","location_id","location","water_year","datetime","value","value_type","units"
"178","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 19:15:00,9210,"discharge","cfs"
"179","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 19:30:00,9290,"discharge","cfs"
"180","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 19:45:00,9280,"discharge","cfs"
"181","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 20:00:00,9150,"discharge","cfs"
"182","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 20:15:00,9310,"discharge","cfs"
"183","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 20:30:00,9240,"discharge","cfs"
"184","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 20:45:00,9250,"discharge","cfs"
"185","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 21:00:00,9220,"discharge","cfs"
"186","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 21:15:00,9020,"discharge","cfs"
"187","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 21:30:00,8680,"discharge","cfs"
"188","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 21:45:00,8390,"discharge","cfs"
"189","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 22:00:00,7680,"discharge","cfs"
"190","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 22:15:00,6950,"discharge","cfs"
"191","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 22:30:00,6010,"discharge","cfs"
"192","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 22:45:00,5200,"discharge","cfs"
"193","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 23:00:00,4520,"discharge","cfs"
"194","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 23:15:00,3810,"discharge","cfs"
"195","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 23:30:00,2670,"discharge","cfs"
"196","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 23:45:00,1950,"discharge","cfs"
"197","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03,1080,"discharge","cfs"
"198","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 00:15:00,196,"discharge","cfs"
"199","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 00:30:00,-266,"discharge","cfs"
"200","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 00:45:00,-631,"discharge","cfs"
"201","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 01:00:00,-862,"discharge","cfs"
"202","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 01:15:00,-1250,"discharge","cfs"
"203","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 01:30:00,-1260,"discharge","cfs"
"204","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 01:45:00,-1160,"discharge","cfs"
"205","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 02:00:00,-1130,"discharge","cfs"
"206","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 02:15:00,-767,"discharge","cfs"
"207","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 02:30:00,-554,"discharge","cfs"
"208","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 02:45:00,-140,"discharge","cfs"
"209","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 03:00:00,363,"discharge","cfs"
"210","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 03:15:00,1090,"discharge","cfs"
"211","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 03:30:00,1970,"discharge","cfs"
"212","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 03:45:00,2760,"discharge","cfs"
"213","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 04:00:00,3810,"discharge","cfs"
"214","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 04:15:00,4550,"discharge","cfs"
"215","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 04:30:00,5280,"discharge","cfs"
"216","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 04:45:00,5670,"discharge","cfs"
"217","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 05:00:00,6000,"discharge","cfs"
"218","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 05:15:00,6190,"discharge","cfs"
"219","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 05:30:00,6320,"discharge","cfs"
"220","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 05:45:00,6560,"discharge","cfs"
"221","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-03 06:00:00,6820,"discharge","cfs"
